日期,类型,分类,金额,币种,账户,商户,备注
2025-10-01,支出,交通费,356,JPY,Suica,,
2025-10-01,支出,便利店,280,JPY,Suica,,
2025-10-01,支出,外食,1100,JPY,现金,,
2025-10-01,支出,便利店,141,JPY,WAON,,
2025-10-01,支出,转账,50000,JPY,ANA Gold,,ANA Gold充值JAL Pay
2025-10-01,支出,转账,50000,JPY,JAL Pay,,ANA Gold充值JAL Pay
2025-10-02,支出,交通费,977,JPY,Suica,,
2025-10-02,支出,旅游,7900,JPY,ANA Gold Master,,三浦半岛
2025-10-02,支出,便利店,608,JPY,Suica,,
2025-10-02,支出,外食,1200,JPY,现金,,
2025-10-02,支出,娱乐,500,JPY,ANA Gold Master,,Pixiv Fanbox
2025-10-02,支出,外食,740,JPY,Suica,,咖啡店
2025-10-03,支出,投资,100000,JPY,乐天Card,,定投
2025-10-03,支出,投资,50000,JPY,乐天Pay,,定投
2025-10-03,支出,外食,530,JPY,Amex Gold,,咖啡
2025-10-03,支出,外食,1280,JPY,PayPay,,拉面
2025-10-03,支出,买菜,919,JPY,ANA Pay,,
2025-10-03,支出,家族卡,14287,JPY,三井事业卡,,家人消费（月底还款）
2025-10-03,支出,转账,5000,JPY,ANA Pay,,ANA Pay 充值 Suica
2025-10-03,支出,转账,5000,JPY,Suica,,ANA Pay 充值 Suica
2025-10-04,支出,交通费,356,JPY,Suica,,
2025-10-04,支出,娱乐,1000,JPY,Saison Gold,,电影票
2025-10-04,支出,娱乐,300,JPY,ANA Gold Master,,电影票
2025-10-04,支出,外食,1150,JPY,Suica,,
2025-10-04,支出,便利店,140,JPY,Suica,,
2025-10-04,支出,外食,1243,JPY,PayPay,,
2025-10-04,支出,衣服,1600,JPY,现金,,
2025-10-05,支出,外食,604,JPY,Amex Gold,,咖啡店
2025-10-05,支出,交通费,1482,JPY,Suica,,
2025-10-05,支出,外食,880,JPY,PayPay,,
2025-10-05,支出,外食,750,JPY,Suica,,
2025-10-05,支出,便利店,780,JPY,Suica,,
2025-10-05,支出,娱乐,8440,JPY,Amex Gold,,看live
2025-10-06,支出,交通费,320,JPY,PayPay,,
2025-10-06,支出,便利店,171,JPY,三井NL,,
2025-10-06,支出,外食,950,JPY,三井NL,,食其家
2025-10-06,支出,话费网费,3850,JPY,ANA Gold,,NURO光网费
2025-10-06,支出,转账,50000,JPY,JAL Pay,,JAL Pay 充值 WAON
2025-10-06,支出,转账,50000,JPY,WAON,,JAL Pay 充值 WAON
2025-10-06,支出,转账,99312,JPY,WAON,,WAON 充值 乐天Pay
2025-10-06,支出,转账,99312,JPY,乐天Pay,,WAON 充值 乐天Pay
2025-10-07,支出,日用品,687,JPY,Amex Gold,,亚马逊购物
2025-10-02,支出,光热费,5580,JPY,ANA Card,,川口市水费
2025-10-07,支出,交通费,636,JPY,Suica,,
2025-10-07,支出,外食,1400,JPY,Suica,,
2025-10-07,支出,娱乐,700,JPY,现金,,
2025-10-07,支出,外食,5100,JPY,ANA Pay,,
2025-10-07,收入,外食,122,RMB,支付宝,,AA收入
2025-10-07,支出,转账,8000,JPY,ANA Pay,,ANAPay充值Suica
2025-10-07,支出,转账,8000,JPY,Suica,,ANAPay充值Suica
2025-10-07,支出,游戏,7804,RMB,支付宝,,购买Paseli 180000点
2025-10-07,支出,谷子,103730,JPY,Paseli,,amnibus代购
2025-10-07,支出,便利店,722,JPY,三井NL,,
2025-10-08,支出,旅游,10890,JPY,View Card,,那須岳
2025-10-08,支出,旅游,1400,JPY,现金,,
2025-10-08,支出,旅游,2100,JPY,现金,,租车
2025-10-08,支出,外食,450,JPY,三井NL,,早饭
2025-10-08,支出,便利店,873,JPY,Suica,,
2025-10-08,支出,便利店,108,JPY,Suica,,
2025-10-08,支出,外食,2972,JPY,Amex Gold,,
2025-10-09,支出,便利店,162,JPY,三井NL,,
2025-10-09,支出,外食,1360,JPY,三井NL,,
2025-10-09,支出,家族卡,880,JPY,三井事业卡,,家人消费（月底还款）
2025-10-09,支出,买菜,8990,JPY,三井事业卡,,
