日期,类型,分类,金额,币种,账户,商户,备注
2025-11-01,支出,转账,3025,JPY,三井事业卡,,充值AU Pay
2025-11-01,收入,转账,3025,JPY,AU Pay,,充值收入
2025-11-01,支出,转账,10000,JPY,ANA Pay,,旅游-充值Suica
2025-11-01,收入,转账,10000,JPY,Suica,,旅游-充值收入
2025-11-01,支出,便利店,332,JPY,Suica,,旅游
2025-11-01,支出,旅游,4070,JPY,Suica,川口-松本,旅游-交通
2025-11-01,支出,外食,430,JPY,三井NL,,旅游
2025-11-01,支出,便利店,1687,JPY,三井NL,,旅游
2025-11-01,支出,便利店,3413,JPY,乐天Pay,,旅游
2025-11-01,支出,旅游,4100,JPY,View Card,特急券,旅游-交通往返(个人份)
2025-11-01,支出,旅游,29150,JPY,ANA Master,,旅游-住宿(个人份)
2025-11-02,支出,便利店,500,JPY,Suica,,旅游
2025-11-02,支出,便利店,550,JPY,乐天Pay,,旅游
2025-11-02,支出,旅游,12300,JPY,ANA Master,立山黑部,旅游-交通乘车票(个人份)
2025-11-02,支出,旅游,29128,JPY,Saison Gold Premium,,旅游-住宿(个人份)
2025-11-03,支出,旅游,4070,JPY,Suica,松本-川口,旅游-交通
2025-11-03,支出,便利店,127,JPY,三井NL,,旅游
2025-11-03,支出,便利店,857,JPY,三井NL,,旅游
2025-11-03,支出,旅游,9055,JPY,ANA Master,租车,旅游(个人份)
2025-11-03,支出,旅游,2000,JPY,现金,纪念品,旅游(个人份)
2025-11-04,支出,交通费,460,JPY,Suica,,
2025-11-04,支出,外食,1150,JPY,现金,,
2025-11-05,支出,外食,30,JPY,Amex Gold,,咖啡
2025-11-05,支出,外食,990,JPY,乐天Pay,,午饭
2025-11-05,支出,外食,1000,JPY,乐天Pay,,晚饭
2025-11-05,支出,外食,1080,JPY,PayPay,,夜宵
2025-11-05,支出,麻将,1400,JPY,现金,,麻将
2025-11-05,支出,交通费,356,JPY,Suica,,
2025-11-06,支出,外食,2450,JPY,三井NL,,
2025-11-06,支出,买菜,765,JPY,乐天Pay,,
2025-11-07,支出,话费网费,3850,JPY,ANA Gold,,NURO光网费
2025-11-07,支出,服饰,2650,JPY,三井事业卡,,
2025-11-07,支出,外食,1380,JPY,PayPay,,
2025-11-07,支出,便利店,180,JPY,Suica,,
2025-11-08,支出,交通费,571,JPY,Suica,,
2025-11-08,支出,交通费,571,JPY,Suica,,
2025-11-08,支出,便利店,834,JPY,三井NL,,
2025-11-09,支出,外食,2510,JPY,乐天Pay,,
2025-11-09,支出,娱乐,5139,JPY,ANA Card,,live
2025-11-09,支出,娱乐,1600,JPY,ANA Card,,电影票
2025-11-09,支出,娱乐,1000,JPY,Saison Gold,,电影票
2025-11-10,支出,交通费,356,JPY,Suica,,
2025-11-10,支出,便利店,173,JPY,三井NL,,
2025-11-10,支出,家族消费,14494,JPY,家族卡,,
2025-11-10,支出,家族消费,180,JPY,家族卡,,
2025-11-10,支出,外食,780,JPY,Suica,,
2025-11-10,支出,外食,1280,JPY,PayPay,,
2025-11-11,支出,外食,1340,JPY,Suica,,
2025-11-11,收入,麻将,4600,JPY,现金,,麻将
2025-11-11,支出,谷子,2500,JPY,ANA Pay,,
2025-11-12,支出,交通费,356,JPY,Suica,,
2025-11-12,支出,外食,890,JPY,Suica,,
2025-11-12,支出,外食,680,JPY,乐天Pay,,奶茶
2025-11-13,支出,外食,640,JPY,三井NL,,
2025-11-13,支出,外食,1630,JPY,PayPay,,
2025-11-13,支出,日用品,1425,JPY,乐天Pay,,
2025-11-13,收入,麻将,400,JPY,现金,,麻将
2025-11-14,支出,外食,850,JPY,三井NL,,
2025-11-14,支出,外食,1280,JPY,现金,,
2025-11-14,支出,麻将,5100,JPY,现金,,麻将
2025-11-15,支出,交通费,356,JPY,Suica,,
2025-11-15,支出,外食,1360,JPY,乐天Pay,,
2025-11-15,支出,书籍,1739,JPY,乐天Pay,,漫画书
2025-11-15,支出,外食,11330,JPY,ANA Pay,,
2025-11-15,支出,娱乐,3200,JPY,ANA Pay,,星象馆
2025-11-15,收入,麻将,4600,JPY,现金,,麻将
